p_value,a1,E,var,z_score,relative_support,effect_size,testgroup,reference,k,time_test
0.0,63,2694.450123106767,1083.108277857916,-79.95749972306305,0.9999254009697874,0.9766186059783658,D2,control,100,127.29019141197205
0.0,3,1687.9590488771466,836.1526329870399,-58.27020814766099,1.0,0.9982227056977504,D9,control,100,28.919350624084473
0.0,3,1826.352128096346,912.727102990816,-60.35316844758559,1.0,0.998357381386728,D8.5,control,100,27.01511311531067
0.0,5,1913.5960558965653,956.2211023088162,-61.721270924017766,1.0,0.997387118360433,D15,control,100,39.51983380317688
0.0,1,1296.376114705368,587.4740789448592,-53.44431688401717,0.9998252053836741,0.999228618925745,D10.5,control,100,24.596383810043335
0.0,76,2425.0487369706075,1104.2427590768796,-70.69028740207074,0.9999061121021501,0.968660423668458,D2.5,control,100,51.51255917549133
0.0,3,1947.6758938869666,972.0532525918491,-62.37379977767018,1.0,0.9984597026592484,D17.5,control,100,38.16440725326538
0.0,31,2413.4336207713445,1103.6391637283123,-71.71454667273046,0.9998105342932929,0.9871552299043169,D3,control,100,52.26932764053345
0.0,1,1853.136553771421,926.511526621689,-60.848179568614,0.9998651018481047,0.9994603743593721,D17,control,100,33.00143814086914
0.0,1,2378.733346299718,1100.280828606547,-71.68220822447745,0.9999027710257656,0.9995796081971291,D5.5,control,100,48.54569363594055
0.0,1,1405.5378319692668,659.6929187184286,-54.68428404733516,1.0,0.99928852857799,D12.5,control,100,22.991013050079346
0.0,5,1451.3107908956936,689.5501067909541,-55.078069718404066,1.0,0.9965548385422572,D13.5,control,100,25.04369878768921
0.0,1,2110.4816540477577,1037.4047140669024,-65.49401940572531,1.0,0.9995261745118315,D15.5,control,100,39.246315479278564
0.0,3,1400.8594142259415,656.6235523225253,-54.551320459523275,0.9998326919859462,0.9978584574800765,D11.5,control,100,23.197710275650024
0.0,1,1873.2338806567882,936.6088764213736,-61.175984262308056,0.9998665421059656,0.9994661638301944,D14,control,100,32.88020157814026
0.0,1,2450.911057913636,1105.905535085261,-73.6701072439345,1.0,0.999591988458018,D4.5,control,100,52.47012114524841
0.0,1,2462.6261290028283,1106.3171503090523,-74.00861393312648,1.0,0.9995939294283356,D5,control,100,50.67776870727539
0.0,11,2794.0047904999665,1053.1977548480006,-85.75490923231791,0.9999325372731566,0.9960629988762362,D8,control,100,94.98805975914001
0.0,3,2149.2706083001704,1050.2024057988592,-66.22896587108858,1.0,0.9986041776273241,D7.5,control,100,40.284722328186035
0.0,1,2636.4186687672313,1094.7872021359194,-79.64981329009007,0.9999212412380878,0.9996206975728679,D4,control,100,66.10205507278442
0.0,3,1883.6140979689367,941.7390667824624,-61.28220651141702,0.9998672859986728,0.9984073170809059,D18,control,100,34.51031279563904
0.0,14,2552.626832782439,1104.2385556680722,-76.39543579984215,0.9999152614185238,0.9945154537199863,D3.5,control,100,64.31499528884888
0.0,55,1283.5164352258746,578.9101188885917,-51.059363955889985,0.9998242839571253,0.9571489709905264,D1.5,control,100,22.86316204071045
0.0,1,1575.0975685302772,768.197444716177,-56.793053453637484,1.0,0.9993651186948799,D14.5,control,100,27.787823915481567
0.0,1,1791.2383275261325,894.1150167771058,-59.87067524151648,0.9998606660164414,0.9994417269971099,D16,control,100,32.23154163360596
0.0,3,1468.3837152608485,700.5957897993794,-55.36274298234607,1.0,0.9979569372985949,D10,control,100,24.759068250656128
0.0,3,1422.5327474713977,670.8166810021736,-54.80794125606018,1.0,0.9978910854563224,D9.5,control,100,20.692600965499878
0.0,1,2373.1710770432574,1099.6323449238425,-71.53560483997178,1.0,0.9995786228773503,D7,control,100,43.30509376525879
0.0,1,1697.5288531775018,841.708805645754,-58.47635781293791,1.0,0.9994109083930278,D6.5,control,100,26.296522617340088
0.0,1,1362.7445143731927,631.5160343508102,-54.188040098567235,0.999829960891005,0.9992661867360663,D13,control,100,22.95359778404236
0.0,7,1536.9716312056737,744.3622334856768,-56.077831716336725,0.9998424452497243,0.9954455893278207,D11,control,100,25.901781797409058
0.0,5,1472.0614960246633,702.9680203156453,-55.332530835446754,1.0,0.9966034027698554,D12,control,100,24.276333570480347
0.0,1,2587.6129164952695,1101.4816082772418,-77.93684428228433,0.9999177428641934,0.9996135434347134,D6,control,100,57.43384146690369
0.0,1,2073.3188371261767,1024.0919274329913,-64.75705701154958,0.9998808814770697,0.9995176815152145,D16.5,control,100,37.673537254333496
